Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2020-07-17,Return of the Jedi,1983,https://boxd.it/1fLacj,4,,"Pretty goofy but still quite enjoyable. Big fan of the ending particularly. The music was spectacular once again. 

Favourite Quote:
<i>“It’s a trap!” </i>- Admiral Ackbar","analysis, quarantine, quotes",2020-07-15
2020-07-22,Donnie Darko,2001,https://boxd.it/1ghF8h,4.5,,"I find how all the events are interconnected and the discussion of time very cool. Jake Gyllenhaal was terrific. The ending is also A1. 

Favourite Quotes (tie):
<i>“Oh dear Elizabeth, how does one suck a f*ck?” - </i>Donnie
<i>
“Sometimes I question your committment to Sparkle Motion!” - </i>Kitty","quotes, analysis, quarantine",2020-07-20
2020-07-23,Star Wars: Episode I - The Phantom Menace,1999,https://boxd.it/1gq3pH,2.5,,"Some difficulties in the plot direction and not very good CGI. It also had a bit too much politics and unnecessary dialogue. BUT, I think this movie gets a little more hate than it necessarily deserves. As I understand it, this movie is trying to introduce the SW universe to a new generation and so I don’t have a huge problem with them trying younger humour. I find it harder to be critical of the movie when it clearly had a different direction and goal to the original trilogy. I think they may have realized they didn’t hit the mark with this one and altered the tone of the next two. 

Enjoyed the pod race (even if it was a bit too long) and seeing the backstories for several familiar characters. Ending fight scene was pretty cool. I actually think Darth Maul’s appearance is kinda neat. He does his job as being a mysterious villain so I don’t really have too big of a problem with his character design. 

One last thing I will say is that I didn’t notice the music as much in this movie other than at the ending :(. I don’t think this is entirely John Williams’ fault, however, and I think the lack of more signature SW score is partly attributed to the plot. 

Favourite Quote:
<i>“There’s always a bigger fish.”</i> - Qui-Gon","w/ Butlers, w/ carter, the boys, analysis, quarantine, quotes",2020-07-22
2020-07-24,Star Wars: Episode II - Attack of the Clones,2002,https://boxd.it/1gw2Lz,3,,"Ani doesn’t like sand. 

Favourite Quote:
<i>“I don’t like sand.” - </i>Ani","w/ butlers, w/ carter, w/ godins, the boys, quotes, quarantine",2020-07-23
2020-08-22,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/1juuzf,3.5,,"Good character arcs. Liked the animation a lot. Story wraps up well. 

Favourite Quote:
“<i>You have money right? I’m not very liquid right now</i>.” - Peter Parker",,2020-08-16
2020-10-14,Boogie Nights,1997,https://boxd.it/1p3Nb7,4.5,,"Out of retirement, and holy moly was this a good one. 

The tone of the movie goes all over the place and I’m here for it. Characters were all well-developed and unique. The storylines were all in interesting their own ways. Ending was also pretty funny and wrapped up the story really well. 

Oh, and I almost forgot. Cinematography in this was unreal! Lighting do be pretty important. 

Favourite Quote(s):

<i>“Doesn’t it scare you dealing with all those evil forces” - </i>Buck

<i>“I know f*cking karate.” -</i> Dirk

<i>“Want to hear a poem I wrote? ‘I love you, you love me. Going down the sugar tree. We’ll go down the sugar tree, and see lots of bees: playing, playing. But the bees won’t sting, because you love me.’ That’s it.” </i>- Reed","analysis, quotes, outofretirement",2020-10-13
2021-01-10,Sound of Metal,2019,https://boxd.it/1zQls3,4,,"Loved the character arc, particularly beginning and ending. Really compelling and emotional storytelling. Excellent cinematography, editing, and sound design creates an immersive watching experience. 

Favourite Quote:

<i>“The world does keep moving and it can be a damn cruel place, But for me those moments of stillness, that place, that’s the Kingdom of God. And that place will never abandon you.”  - </i>Joe",thereturn,2021-01-09
2021-01-31,Star Wars: Episode III - Revenge of the Sith,2005,https://boxd.it/1CUU7T,3.5,,"Finally got around to watching this. Fight scenes are pretty great. Glad I didn’t have any spoilers. 

Favourite Quote:

“<i>You were the chosen one! It was said that you would destroy the Sith, not join them! Bring balance to the force, not leave it in darkness! You were my brother Anakin! I loved you!</i>” - Obi-Wan","w/ sunil, quarantine",2021-01-29
2021-01-31,The Prestige,2006,https://boxd.it/1CYoNr,5,,"Unreal twist. The character arcs are fantastic. Very detailed story and themes. Definitely requires a rewatch. 

Favourite Quote(s):

“<i>He came in to demand an answer, and I told him the truth. That I have fought with myself over that night, one half of me swearing blind that I tied a simple slipknot, the other half convinced that I tied the Langford double. I can never know for sure.</i>” - Borden 

“<i>So... we go alone now. Both of us. Only I don't have as far to go as you. Go. You were right, I should have left him to his damn trick. I'm sorry. I'm sorry for a lot of things. I'm sorry about Sarah. I didn't mean to hurt her... I didn't. You go and live your life in full now, all right? You live for both of us.” - </i>Borden

“<i>Secrets are my life.” - </i>Borden

“<i>Now you're looking for the secret.. but you won't find it because you're not really looking. You don't really want to know the secret.. You want to be fooled!” </i>- Borden","w/ sunil, quarantine",2021-01-30
2021-03-17,Zodiac,2007,https://boxd.it/1JesWN,4,,"Animal crackers hit different. 

Favourite Quote:

<i>“Mr. Graysmith, I do the posters myself” - </i>Bob Vaughn

<i>“Methinks our friend’s a tad bit fuckered in the head.”</i> - Paul Avery",,2021-03-16
